10;Francesco Tramontano Gioielli;Francesco opened the doors to his jewelry workshop and store in 2008. Working with materials like brass and silver, the jewelry is heavily influenced by both Neapolitan & Mediterranean symbols, like the sun, the sea, and of course, Mount Vesuvius.;40.8352669;14.2382362;Via Vittorio Imbriani, 44b, 80121 Napoli NA, Italy;
11;Pasquale Canè;Located in the Quartieri Spagnoli, Pasquale (now 85 years old) continues to produce handmade shoes with the same dedication he had as a young boy. Each pair of sandals is made with quality leather and decorative accents sourced from local shops in Naples.;40.8371818;14.2469533;Via Nardones, 97, 80132 Napoli NA, Italy;
12;Anouk Studio;Anna Monaco is the artist and creative behind Anouk Studio, a collection of fine-art prints inspired by the myths and legends of her native Naples. Never afraid to play with color, her art is bright and cheerful, embodying the spirit of the coastline and the Neapolitan people themselves.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
13;Antica Manifattura Ceramica F.lli Stingo;A family-run ceramics factory that has had its doors open since the early 18th century. Initially concentrated on terracotta tiles and vases, the production has expanded to include home objects, decorations, and furnishing accessories. ;40.8450058;14.2879877;Via Brecce a Sant'Erasmo, 111, 80146 Napoli NA, Italy;
14;Bottega Ferrigno;Located along the famous Via San Gregorio Armeno, Ferrigno has been carving, assembling and painting miniature sculptures since 1836. The trio of Mary, Joseph and Baby Jesus is the centerpiece of any nativity scene, but in Naples, these elaborate landscapes feature colorful locals like fishmongers, pizza chefs and Benino, the sleeping shepard. Ferrigno’s selection also includes contemporary characters including soccer stars, politicians and Papa Francesco.;40.8496713;14.258023;Via S. Gregorio Armeno, 22-42, 80138 Napoli NA, Italy;
15;Kiphy Saponi;Founded in 2000, Kiphy Saponi revisits the ancient art of soapmaking using modern techniques. The soaps uses 100% biodegradable oils, like olive oil and coconut oil, along with spices and flowers including cinnamon, ginger, and fennel.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
16;Mario Talarico;An old-fashioned umbrella shop, Mario and his family have been making umbrellas for five generations. This whimsical shop feels like stepping back in time and is one of the last artisanal umbrella shops in all of Italy. Each umbrella is a true work of art and makes a unique gift for yourself, or a friend.;40.8422344;14.2483715;Vico Due Porte a Toledo, 4/B, 80132 Napoli NA, Italy;
17;San Gregorio armeno ;A picturesque alley in the heart of Naples, Via San Gregorio Armeno is known across Italy for its artisan shops selling handcrafted pastori, or nativity-scene figurines.It's a great place to visit if you want to shop for an unusual souvenir, and while you'll find it filled with tourists perusing Nativity figurines throughout the year, at Christmas it descends into pure madness! ;40.8500804;14.2578099;Via S. Gregorio Armeno, 80138 Napoli NA, Italy;
18;Gay Odin;One of several branches around town, Gay Odin is famous for its delectable artisanal chocolates;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
19;La Feltrinelli;Pick up anything from Italian DVDs and music CDs to novels and coffee-table tomes at this buzzing three-level book-and-music megastore, complete with cafe for a leisurely sip and browse. There's a fair-sized English-language section in the basement, as well as niche titles on Neapolitan history, architecture, art and food;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
20;Libreria Dante & Descartes;Overlooking the spectacular Chiesa del Gesù Nuovo is this erudite little bookshop, popular with writers and intellectuals. There's a small foreign-language section, with a handful of books in English;40.8469921;14.2522569;80134, Piazza del Gesù Nuovo, 14, 80134 Napoli NA, Italy;
21;La Scarabattola;La Scarabattola's handmade sculptures of magi (wise men), devils and Neapolitan folk figures constitute Jerusalem's official Christmas crèche, and the artisanal studio's fans also include fashion designer Stefano Gabbana and Spanish royalty. Figurines aside, sleek ceramic creations (like Pulcinella-inspired place-card holders) inject Neapolitan folklore with refreshing contemporary style.;40.8517983;14.26812;Naples, Metropolitan City of Naples, Italy;
